game_date,season_start,gameId,personId,player_name,playerteamName,opponentteamName,starter_label,primary_position,actual_numMinutes,fantasy_points,fantasy_points_roll_10,fantasy_points_z_5_vs_30
2023-02-06 19:30:00,2022,22200810,202694,Marcus Morris Sr.,Clippers,Nets,Starter,Forward,17.0,2.2,21.08,-0.0183332438161665
2024-03-19 19:00:00,2023,22300991,203914,Gary Harris,Magic,Hornets,Starter,Guard,16.0,2.2,15.61,-0.3092618235470366
2023-01-09 21:00:00,2022,22200609,201976,Patrick Beverley,Lakers,Nuggets,Starter,Guard,12.0,2.2,20.7,0.0327387852231357
2026-01-29 21:00:00,2025,22500684,1642461,Spencer Jones,Nuggets,Nets,Starter,Forward,15.14,2.2,15.69,0.0945798149939131
2024-01-06 20:00:00,2023,22300496,1627736,Malik Beasley,Bucks,Rockets,Starter,Guard,16.0,2.2,17.389999999999997,-0.5560061752074145
2023-02-13 19:30:00,2022,22200862,1629628,RJ Barrett,Knicks,Nets,Starter,Forward,24.0,2.2,29.809999999999995,-0.1909189836270904
2025-02-03 21:00:00,2024,22400707,1629012,Collin Sexton,Jazz,Pacers,Starter,Guard,2.44,2.2,32.93,0.3045077420532704
2024-02-12 19:30:00,2023,22300764,1630577,Julian Champagnie,Spurs,Raptors,Starter,Forward,10.0,2.2,14.6,0.500316412703628
2025-01-25 21:00:00,2024,22400645,1642346,Ryan Dunn,Suns,Wizards,Starter,Forward,1.49,2.2,20.47,0.4849891007517247
2024-12-30 19:00:00,2024,22400442,1641763,Julian Phillips,Bulls,Hornets,Starter,Forward,11.0,2.2,10.03,-0.1665674872530848
2022-12-03 16:00:00,2022,22200338,202704,Reggie Jackson,Clippers,Kings,Starter,Guard,23.0,2.2,27.76,0.3716307306483355
2023-01-12 19:00:00,2022,22200626,200782,P.J. Tucker,76ers,Thunder,Starter,Forward,21.0,2.4,11.07,0.1117051502104875
2023-12-14 19:30:00,2023,22300320,1631115,Orlando Robinson,Heat,Bulls,Starter,Center,14.0,2.4,19.78,1.0860783415360138
2025-11-08 19:30:00,2025,22500184,1630534,Ochai Agbaji,Raptors,76ers,Starter,Guard,15.04,2.4,14.05,-1.027192236545224
2023-12-16 21:00:00,2023,22300341,1641726,Dereck Lively II,Mavericks,Trail Blazers,Starter,Center,5.0,2.4,29.71,0.2082442678436541
2025-01-08 21:30:00,2024,22400516,1641748,Andre Jackson Jr.,Bucks,Spurs,Starter,Guard,11.27,2.4,12.77,-0.1182230917679186
2026-01-12 22:30:00,2025,22500563,1627739,Kris Dunn,Clippers,Hornets,Starter,Guard,20.33,2.4,20.28,0.0852479647097996
2025-12-31 15:00:00,2025,22500464,1642277,Johnny Furphy,Pacers,Magic,Starter,Guard,5.15,2.4,11.92,0.6769273305823731
2022-12-15 20:00:00,2022,22200424,2617,Udonis Haslem,Heat,Rockets,Starter,Forward,12.0,2.4,4.99,-0.0355838734522687
2026-03-21 21:30:00,2025,22501030,1631230,Dominick Barlow,76ers,Jazz,Starter,Forward,3.41,2.4,19.08,0.6106218254710108
2026-03-05 22:00:00,2025,22500906,1629028,Deandre Ayton,Lakers,Nuggets,Starter,Center,4.3,2.4,22.64,-0.0820929950588145
