feature,train_missing_rate,train_abs_target_corr,train_target_corr,train_non_missing_rows
team_reboundsTotal_roll_10,0.3381727907248788,0.008553828510681684,0.008553828510681684,50919
team_threePointersPercentage_z_10_vs_30,0.3381727907248788,0.008548064480183411,0.008548064480183411,50919
team_offensiveRating_z_10_vs_30,0.3381727907248788,0.008521132283828642,0.008521132283828642,50919
opp_trueShootingPercentage_allowed_z_5_vs_30,0.3381727907248788,0.008518875857356823,0.008518875857356823,50919
opp_fp_allowed_momentum_10_vs_30,0.34272196732391436,0.00851438787073319,0.00851438787073319,50569
opp_steals_roll_10,0.3381727907248788,0.008492185920715186,-0.008492185920715186,50919
opp_effectiveFieldGoalPercentage_allowed_z_10_vs_30,0.3381727907248788,0.008356637556731956,0.008356637556731956,50919
opp_fp_allowed_z_10_vs_30,0.3467382403784915,0.008354658460885168,0.008354658460885168,50260
team_points_allowed_z_5_vs_30,0.3381727907248788,0.008013051094981623,0.008013051094981623,50919
team_threePointersPercentage_momentum_10_vs_30,0.3381727907248788,0.00798983881696382,0.00798983881696382,50919
opp_pointsInThePaint_allowed_momentum_5_vs_10,0.3381727907248788,0.007972195016655815,0.007972195016655815,50919
opp_pointsInThePaint_allowed_z_5_vs_30,0.3381727907248788,0.007859529488214523,0.007859529488214523,50919
opp_turnovers_forced_roll_5,0.3381727907248788,0.007831119080334438,0.007831119080334438,50919
opp_defensiveRating_std_30,0.3381727907248788,0.007821758365682266,-0.007821758365682266,50919
opp_assists_allowed_roll_5,0.3381727907248788,0.007809293975940944,0.007809293975940944,50919
opp_trueShootingPercentage_allowed_z_10_vs_30,0.3381727907248788,0.007770277688732279,0.007770277688732279,50919
opp_points_allowed_z_5_vs_30,0.3381727907248788,0.007700065370929113,0.007700065370929113,50919
opp_blocks_z_5_vs_30,0.3381727907248788,0.0076996415466602025,-0.0076996415466602025,50919
opp_rebounds_allowed_roll_10,0.3381727907248788,0.0076679266173915045,-0.0076679266173915045,50919
team_points_allowed_momentum_10_vs_30,0.3381727907248788,0.00760593180610699,0.00760593180610699,50919
opp_trueShootingPercentage_allowed_momentum_10_vs_30,0.3381727907248788,0.007481726711117462,0.007481726711117462,50919
team_offensiveRating_momentum_10_vs_30,0.3381727907248788,0.00746340843688449,0.00746340843688449,50919
opp_steals_z_10_vs_30,0.3381727907248788,0.007433043444692958,-0.007433043444692958,50919
team_points_allowed_z_10_vs_30,0.3381727907248788,0.007422759551206717,0.007422759551206717,50919
opp_assists_allowed_roll_30,0.3381727907248788,0.007269450739529676,0.007269450739529676,50919
team_pointsSecondChance_std_30,0.3468032286156206,0.007182179054892769,0.007182179054892769,50255
pos_opp_difficulty_ratio_3,0.34243601908054644,0.007164244342664579,0.007164244342664579,50591
opp_steals_roll_5,0.3381727907248788,0.007156643030576483,-0.007156643030576483,50919
opp_rebounds_allowed_roll_30,0.3381727907248788,0.007059751950977014,-0.007059751950977014,50919
team_offensiveRating_roll_5,0.3381727907248788,0.007048535874243425,0.007048535874243425,50919
opp_pointsSecondChance_allowed_std_30,0.3381727907248788,0.00703639971529963,0.00703639971529963,50919
opp_defensiveRating_z_5_vs_30,0.3381727907248788,0.00702963564190946,0.00702963564190946,50919
opp_steals_momentum_10_vs_30,0.3381727907248788,0.006975838543153724,-0.006975838543153724,50919
team_turnovers_std_30,0.3381727907248788,0.006930902610771463,0.006930902610771463,50919
team_threePointersPercentage_roll_5,0.3381727907248788,0.0069024190388067876,0.0069024190388067876,50919
opp_rebounds_allowed_std_30,0.3381727907248788,0.006720006956996222,0.006720006956996222,50919
team_trueShootingPercentage_std_30,0.3381727907248788,0.006619501269830635,-0.006619501269830635,50919
opp_blocks_roll_5,0.3381727907248788,0.006580860217665712,-0.006580860217665712,50919
team_blocks_z_10_vs_30,0.3381727907248788,0.006505454939935481,-0.006505454939935481,50919
team_trueShootingPercentage_z_10_vs_30,0.3381727907248788,0.0064898925934781864,0.0064898925934781864,50919
opp_rebounds_allowed_momentum_5_vs_10,0.3381727907248788,0.006415121197567357,0.006415121197567357,50919
team_blocks_momentum_10_vs_30,0.3381727907248788,0.006373716947134316,-0.006373716947134316,50919
team_turnovers_z_10_vs_30,0.3381727907248788,0.006279595830606261,-0.006279595830606261,50919
opp_assists_allowed_std_30,0.3381727907248788,0.006269761583943794,-0.006269761583943794,50919
opp_fp_allowed_z_5_vs_30,0.3467382403784915,0.006253349476470413,0.006253349476470413,50260
team_trueShootingPercentage_momentum_10_vs_30,0.3381727907248788,0.006209997223521996,0.006209997223521996,50919
opp_pos_fp_allowed_per_player_z_5_vs_30,0.34659526625680753,0.006133056171292528,0.006133056171292528,50271
team_turnovers_roll_5,0.3381727907248788,0.0060907206863036545,-0.0060907206863036545,50919
opp_win_std_30,0.3381727907248788,0.0060326614296997445,-0.0060326614296997445,50919
opp_blocks_roll_10,0.3381727907248788,0.006025568070634052,-0.006025568070634052,50919
team_defensiveRating_roll_30,0.3381727907248788,0.006022280255771437,-0.006022280255771437,50919
team_pointsSecondChance_roll_10,0.34272196732391436,0.0060165199375648865,0.0060165199375648865,50569
pace_momentum_5_vs_10,0.010632075594317428,0.00597953537638482,-0.00597953537638482,76119
team_effectiveFieldGoalPercentage_z_10_vs_30,0.3381727907248788,0.005968405991501287,0.005968405991501287,50919
team_effectiveFieldGoalPercentage_momentum_10_vs_30,0.3381727907248788,0.00591478178703433,0.00591478178703433,50919
opp_pos_fp_allowed_per_player_momentum_5_vs_10,0.34243601908054644,0.005844983987111422,0.005844983987111422,50591
